"","Country.Name","Country.Code","Year","value.Internet users (per 100 people)","value.GDP at market prices (constant 2010 US$)","value.PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"1","Canada","CAN","1997","15.0723573635834","1168497588526.5",""
"4","Saudi Arabia","SAU","1997","0.0520990308798771","299403466666.667",""
"7","Egypt, Arab Rep.","EGY","1997","0.0904802447092506","117252924228.45",""
"10","Estonia","EST","1997","5.70627654756003","12350013245.0331",""
"13","China","CHN","1997","0.0323948609340087","1766887258134.95",""
"16","Canada","CAN","1998","24.897400303091","1213855850514.46",""
"19","Saudi Arabia","SAU","1998","0.101429892697824","307890133333.333",""
"22","Egypt, Arab Rep.","EGY","1998","0.147987376854339","121985682645.739",""
"25","Estonia","EST","1998","10.7960348323268","12858503311.2583",""
"28","China","CHN","1998","0.168540297316545","1905649563828.14",""
"31","Canada","CAN","1999","36.1864400395459","1276529788099.4",""
"34","Saudi Arabia","SAU","1999","0.493585340238987","305585600000",""
"37","Egypt, Arab Rep.","EGY","1999","0.290445278316066","129433470192.683",""
"40","Estonia","EST","1999","14.5008972430169","12748370860.9272",""
"43","China","CHN","1999","0.708187956801324","2050825253414.67",""
"46","Canada","CAN","2000","51.3","1342688373422.64","10.6960008678364"
"49","Saudi Arabia","SAU","2000","2.21069180908888","320450933333.333","49.5009728676966"
"52","Egypt, Arab Rep.","EGY","2000","0.641265037504813","136381466595.601","37.5824355852358"
"55","Estonia","EST","2000","28.5769538105646","14095629139.0728","9.72120264285583"
"58","China","CHN","2000","1.77591320677415","2223695100641.38","44.1512502177406"
"61","Canada","CAN","2001","60.2","1366464955445.54",""
"64","Saudi Arabia","SAU","2001","4.6810531658103","322205866666.667",""
"67","Egypt, Arab Rep.","EGY","2001","0.838945611477604","141202859219.841",""
"70","Estonia","EST","2001","31.5274897673756","14987695364.2384",""
"73","China","CHN","2001","2.63965021485872","2408225645841.8",""
"76","Canada","CAN","2002","61.5932992681952","1407595773442.05",""
"79","Saudi Arabia","SAU","2002","6.38470501955932","322617333333.333",""
"82","Egypt, Arab Rep.","EGY","2002","2.71999971465421","144550057617.211",""
"85","Estonia","EST","2002","41.52","15898410596.0265",""
"88","China","CHN","2002","4.59570433077551","2627155250001.14",""
"91","Canada","CAN","2003","64.2","1432964496408.46",""
"94","Saudi Arabia","SAU","2003","8.00158289090878","347327466666.667",""
"97","Egypt, Arab Rep.","EGY","2003","4.03788510706701","149166198274.123",""
"100","Estonia","EST","2003","45.32","17077470198.6755",""
"103","China","CHN","2003","6.2","2890395506407.06",""
"106","Canada","CAN","2004","65.9559634648989","1477185224907.79",""
"109","Saudi Arabia","SAU","2004","10.2345329969583","379469866666.667",""
"112","Egypt, Arab Rep.","EGY","2004","11.92","155269958553.285",""
"115","Estonia","EST","2004","53.2","18152450331.1258",""
"118","China","CHN","2004","7.3","3181621437923.13",""
"121","Canada","CAN","2005","71.66","1524475568821.59","11.7520244412849"
"124","Saudi Arabia","SAU","2005","12.7050359882849","407004266666.667","51.1970295327493"
"127","Egypt, Arab Rep.","EGY","2005","12.75","162212626119.905","37.0911447520524"
"130","Estonia","EST","2005","61.45","19854013245.0331","9.32736963534744"
"133","China","CHN","2005","8.52325700269541","3542811557169.99","51.0259132640348"
"136","Canada","CAN","2006","72.4","1564468853329.45",""
"139","Saudi Arabia","SAU","2006","19.4595543513634","429701866666.667",""
"142","Egypt, Arab Rep.","EGY","2006","13.66","173312772191.837",""
"145","Estonia","EST","2006","63.51","21893390728.4768",""
"148","China","CHN","2006","10.5231526193851","3992331462570.89",""
"151","Canada","CAN","2007","73.2","1596739898466.32",""
"154","Saudi Arabia","SAU","2007","30","455450933333.333",""
"157","Egypt, Arab Rep.","EGY","2007","16.03","185597209140.304",""
"160","Estonia","EST","2007","66.19","23589735099.3377",""
"163","China","CHN","2007","16","4559041383517.93",""
"166","Canada","CAN","2008","76.7","1612713061250.24",""
"169","Saudi Arabia","SAU","2008","36","493832533333.333",""
"172","Egypt, Arab Rep.","EGY","2008","18.01","198871216255.072",""
"175","Estonia","EST","2008","70.58","22311298013.245",""
"178","China","CHN","2008","22.6","4997775145605.96",""
"181","Canada","CAN","2009","80.3","1565144676082.31",""
"184","Saudi Arabia","SAU","2009","38","502865600000",""
"187","Egypt, Arab Rep.","EGY","2009","20","208189218087.493",""
"190","Estonia","EST","2009","72.5","19026092715.2318",""
"193","China","CHN","2009","28.9","5459247267275.14",""
"196","Canada","CAN","2010","80.3","1613406134731.12","11.86908534549"
"199","Saudi Arabia","SAU","2010","41","526811466666.667","53.8710987220682"
"202","Egypt, Arab Rep.","EGY","2010","21.6","218888324504.753","34.9914911361153"
"205","Estonia","EST","2010","74.1","19494662251.6556","9.49771272219611"
"208","China","CHN","2010","34.3","6039658508485.59","54.1509101678887"
"211","Canada","CAN","2011","83","1664086754804.89","11.9301750660963"
"214","Saudi Arabia","SAU","2011","47.5","579276266666.667","53.9334559808214"
"217","Egypt, Arab Rep.","EGY","2011","25.6","222864751906.045","35.4070857910723"
"220","Estonia","EST","2011","76.5","20972966887.4172","9.33487050875675"
"223","China","CHN","2011","38.3","6612490294273.65","54.075743203367"
"226","Canada","CAN","2012","83","1693132927878.08",""
"229","Saudi Arabia","SAU","2012","54","610467200000",""
"232","Egypt, Arab Rep.","EGY","2012","26.4","227754133456.084",""
"235","Estonia","EST","2012","78.3899259259259","22059907284.7682",""
"238","China","CHN","2012","42.3001174855995","7124977970399.61",""
"241","Canada","CAN","2013","85.8","1730687770724.13","12.1373248578469"
"244","Saudi Arabia","SAU","2013","60.5","626766133333.334","54.1150999376812"
"247","Egypt, Arab Rep.","EGY","2013","29.4","232552285851.12","36.4050039327036"
"250","Estonia","EST","2013","79.4","22405761589.404","9.09401405340706"
"253","China","CHN","2013","45.8","7672447738017.42","54.3561520598887"
"256","Canada","CAN","2014","87.12","1773485821199.77",""
"259","Saudi Arabia","SAU","2014","64.713657369019","649572533333.334",""
"262","Egypt, Arab Rep.","EGY","2014","33.8946039115275","237735390300.773",""
"265","Estonia","EST","2014","84.24","23056993377.4834",""
"268","China","CHN","2014","47.9","8230120617793.52",""
"271","Canada","CAN","2015","88.47","1792608764608.81",""
"274","Saudi Arabia","SAU","2015","69.6162358014004","672214400000",""
"277","Egypt, Arab Rep.","EGY","2015","35.9","247720276693.405",""
"280","Estonia","EST","2015","88.4066","23303205298.0132",""
"283","China","CHN","2015","50.3","8797998940421.28",""
"286","Canada","CAN","2016","","",""
"289","Saudi Arabia","SAU","2016","","",""
"292","Egypt, Arab Rep.","EGY","2016","","",""
"295","Estonia","EST","2016","","",""
"298","China","CHN","2016","","",""
